agent,id,reviewer,task_achieved,claims_checked,unsupported_claims,citations_checked,correct_citations,participant,trial_type,human_seconds,assisted_seconds,human_success,assisted_success,satisfaction,feedback
baseline_common,EB001,,,,,,,,,,,,,,
baseline_common,EB002,,,,,,,,,,,,,,
baseline_common,EB003,,,,,,,,,,,,,,
baseline_common,EB004,,,,,,,,,,,,,,
baseline_common,EB005,,,,,,,,,,,,,,
baseline_common,EB006,,,,,,,,,,,,,,
baseline_common,EB007,,,,,,,,,,,,,,
baseline_common,EB008,,,,,,,,,,,,,,
baseline_common,EB009,,,,,,,,,,,,,,
baseline_common,EB010,,,,,,,,,,,,,,
baseline_common,EB011,,,,,,,,,,,,,,
baseline_common,EB012,,,,,,,,,,,,,,
baseline_common,EB013,,,,,,,,,,,,,,
baseline_common,EB014,,,,,,,,,,,,,,
baseline_common,EB015,,,,,,,,,,,,,,
baseline_common,EB016,,,,,,,,,,,,,,
baseline_common,EB017,,,,,,,,,,,,,,
baseline_common,EB018,,,,,,,,,,,,,,
baseline_common,EB019,,,,,,,,,,,,,,
baseline_common,EB020,,,,,,,,,,,,,,
baseline_common,EB021,,,,,,,,,,,,,,
baseline_common,EB022,,,,,,,,,,,,,,
baseline_common,EB023,,,,,,,,,,,,,,
baseline_common,EB024,,,,,,,,,,,,,,
baseline_common,EB025,,,,,,,,,,,,,,
baseline_common,EB026,,,,,,,,,,,,,,
baseline_common,EB027,,,,,,,,,,,,,,
baseline_common,EB028,,,,,,,,,,,,,,
baseline_common,EB029,,,,,,,,,,,,,,
baseline_common,EB030,,,,,,,,,,,,,,
baseline_common,EB031,,,,,,,,,,,,,,
baseline_common,EB032,,,,,,,,,,,,,,
baseline_common,EB033,,,,,,,,,,,,,,
baseline_common,EB034,,,,,,,,,,,,,,
baseline_common,EB035,,,,,,,,,,,,,,
baseline_common,EB036,,,,,,,,,,,,,,
baseline_common,EB037,,,,,,,,,,,,,,
baseline_common,EB038,,,,,,,,,,,,,,
baseline_common,EB039,,,,,,,,,,,,,,
baseline_common,EB040,,,,,,,,,,,,,,
